model_id,rmse,mse,mae,rmsle,mean_residual_deviance
XGBoost_grid_1_AutoML_1_20260320_101042_model_49,3.0770164461140284,9.468030209656206,2.4602101579195064,,9.468030209656206
GBM_1_AutoML_1_20260320_101042,3.077245240305992,9.469438268985884,2.4600998289359297,,9.469438268985884
GBM_grid_1_AutoML_1_20260320_101042_model_10,3.081395634803143,9.494999058183865,2.4643092186201385,,9.494999058183865
GBM_grid_1_AutoML_1_20260320_101042_model_4,3.0820064310379696,9.4987636409594,2.4624977644039454,,9.4987636409594
GBM_grid_1_AutoML_1_20260320_101042_model_2,3.0820134734313376,9.4988070504123,2.463769119462773,,9.4988070504123
DeepLearning_grid_1_AutoML_1_20260320_101042_model_7,3.0827351874434026,9.503256235901713,2.463521376963304,,9.503256235901713
GBM_grid_1_AutoML_1_20260320_101042_model_27,3.083080170851492,9.505383339897664,2.465597355746517,,9.505383339897664
GBM_5_AutoML_1_20260320_101042,3.083723511114844,9.50935069300246,2.466240840926639,,9.50935069300246
XGBoost_grid_1_AutoML_1_20260320_101042_model_24,3.084549119351533,9.514443269692322,2.467306118305377,,9.514443269692322
GBM_grid_1_AutoML_1_20260320_101042_model_1,3.085142853346249,9.518106425553436,2.467703796298465,,9.518106425553436
DeepLearning_grid_1_AutoML_1_20260320_101042_model_11,3.086835842823969,9.528555520542769,2.471333440088346,,9.528555520542769
XGBoost_grid_1_AutoML_1_20260320_101042_model_56,3.0879742401809405,9.535584908021058,2.470583448277367,,9.535584908021058
XGBoost_grid_1_AutoML_1_20260320_101042_model_35,3.088402671642005,9.538231062205478,2.472020487347769,,9.538231062205478
GBM_grid_1_AutoML_1_20260320_101042_model_7,3.0901626050414275,9.54910492559642,2.472905139642563,,9.54910492559642
XGBoost_grid_1_AutoML_1_20260320_101042_model_23,3.0904815351598582,9.551076119164032,2.4709241683434464,,9.551076119164032
GBM_2_AutoML_1_20260320_101042,3.0981666586867087,9.598636644997963,2.477849974795176,,9.598636644997963
DeepLearning_grid_1_AutoML_1_20260320_101042_model_5,3.1026285651615164,9.626304013356211,2.479142540228624,,9.626304013356211
XGBoost_grid_1_AutoML_1_20260320_101042_model_32,3.1035991909888168,9.632327938306435,2.4810269045647,,9.632327938306435
DeepLearning_grid_1_AutoML_1_20260320_101042_model_3,3.1037548793621523,9.633294351164368,2.479985829139288,,9.633294351164368
DeepLearning_grid_1_AutoML_1_20260320_101042_model_20,3.1049545470571407,9.640742739290816,2.484876201524293,,9.640742739290816
GBM_grid_1_AutoML_1_20260320_101042_model_16,3.105364800433721,9.643290543772762,2.483496080477387,,9.643290543772762
GBM_grid_1_AutoML_1_20260320_101042_model_3,3.1089669388228085,9.665675426693264,2.4881935160569904,,9.665675426693264
DeepLearning_grid_1_AutoML_1_20260320_101042_model_6,3.1102102977376136,9.673408096153096,2.48459096277038,,9.673408096153096
XGBoost_3_AutoML_1_20260320_101042,3.116505556511328,9.712606883765984,2.4960855401881736,,9.712606883765984
GBM_3_AutoML_1_20260320_101042,3.1174056584062666,9.718218039063409,2.4923393353790244,,9.718218039063409
XGBoost_grid_1_AutoML_1_20260320_101042_model_8,3.128105380063272,9.785043268780784,2.500412601559027,,9.785043268780784
DeepLearning_grid_1_AutoML_1_20260320_101042_model_8,3.128642934811154,9.788406613543753,2.503266005086178,,9.788406613543753
GBM_grid_1_AutoML_1_20260320_101042_model_5,3.1327182636781536,9.813923719582666,2.5042207040390387,,9.813923719582666
XGBoost_grid_1_AutoML_1_20260320_101042_model_16,3.139015935957081,9.853421046192508,2.5085182518567426,,9.853421046192508
XGBoost_grid_1_AutoML_1_20260320_101042_model_48,3.148828828639596,9.915122992071812,2.5164795982182726,,9.915122992071812
XGBoost_grid_1_AutoML_1_20260320_101042_model_39,3.151112956406024,9.929512864029912,2.51732009416481,,9.929512864029912
GBM_grid_1_AutoML_1_20260320_101042_model_26,3.152316122210787,9.937096934350054,2.516330831482468,,9.937096934350054
GBM_grid_1_AutoML_1_20260320_101042_model_15,3.1535150710910207,9.944657303598206,2.520482820927273,,9.944657303598206
GBM_grid_1_AutoML_1_20260320_101042_model_17,3.155511768394124,9.957254520473812,2.5177142659710654,,9.957254520473812
XGBoost_grid_1_AutoML_1_20260320_101042_model_45,3.156158304906644,9.96133524563118,2.521411613881029,,9.96133524563118
XGBoost_grid_1_AutoML_1_20260320_101042_model_30,3.158037718503616,9.973202231491523,2.530808052699012,,9.973202231491523
XGBoost_grid_1_AutoML_1_20260320_101042_model_13,3.160259519518759,9.987240230708938,2.5272090676882537,,9.987240230708938
XGBoost_grid_1_AutoML_1_20260320_101042_model_11,3.160405059275857,9.988160138696434,2.531680720985937,,9.988160138696434
XGBoost_grid_1_AutoML_1_20260320_101042_model_18,3.1617724587489486,9.996805080903371,2.527296920635808,,9.996805080903371
XGBoost_grid_1_AutoML_1_20260320_101042_model_52,3.1622421570712658,9.999775459958732,2.527946904256358,,9.999775459958732
GBM_grid_1_AutoML_1_20260320_101042_model_23,3.1625047053443733,10.001436011325302,2.526316306320928,,10.001436011325302
XGBoost_grid_1_AutoML_1_20260320_101042_model_19,3.1628666400881125,10.003725382982266,2.5270181434247645,,10.003725382982266
GBM_4_AutoML_1_20260320_101042,3.165996156932384,10.023531665710626,2.5299116231962486,,10.023531665710626
DRF_1_AutoML_1_20260320_101042,3.16815250396785,10.037190288397758,2.5262273495273466,,10.037190288397758
XGBoost_grid_1_AutoML_1_20260320_101042_model_42,3.1683678541294755,10.038554859081016,2.5275641713359627,,10.038554859081016
XGBoost_grid_1_AutoML_1_20260320_101042_model_21,3.169176326868308,10.043678590782498,2.536774816313083,,10.043678590782498
GBM_grid_1_AutoML_1_20260320_101042_model_14,3.1707560808918296,10.053694124512514,2.534321129938762,,10.053694124512514
XGBoost_grid_1_AutoML_1_20260320_101042_model_26,3.1721435070138515,10.062494429090137,2.540170375965233,,10.062494429090137
GBM_grid_1_AutoML_1_20260320_101042_model_11,3.175649928854185,10.084752470631592,2.544165085953729,,10.084752470631592
XGBoost_grid_1_AutoML_1_20260320_101042_model_37,3.1790601024413467,10.106423134934388,2.53999978908638,,10.106423134934388
XGBoost_grid_1_AutoML_1_20260320_101042_model_14,3.199834478168476,10.238940687675722,2.558568376558297,,10.238940687675722
XGBoost_grid_1_AutoML_1_20260320_101042_model_51,3.2002615584241427,10.241674042327324,2.5681345107004976,,10.241674042327324
XGBoost_grid_1_AutoML_1_20260320_101042_model_22,3.2043176235381634,10.267651432517264,2.5604509999844014,,10.267651432517264
XGBoost_grid_1_AutoML_1_20260320_101042_model_29,3.20475610775366,10.270461710184389,2.559558897187305,,10.270461710184389
XGBoost_grid_1_AutoML_1_20260320_101042_model_40,3.208492551483016,10.294424452921993,2.5663506572636776,,10.294424452921993
XGBoost_grid_1_AutoML_1_20260320_101042_model_46,3.2109386563458586,10.310127054816148,2.5576740603881656,,10.310127054816148
DeepLearning_grid_1_AutoML_1_20260320_101042_model_18,3.21798588079114,10.355433128971129,2.561904152656296,,10.355433128971129
XGBoost_grid_1_AutoML_1_20260320_101042_model_50,3.2283644804974467,10.422337218937548,2.580194830580242,,10.422337218937548
XGBoost_grid_1_AutoML_1_20260320_101042_model_31,3.2430208985841644,10.51718454865364,2.595299550408986,,10.51718454865364
XGBoost_grid_1_AutoML_1_20260320_101042_model_5,3.2437376980665005,10.521834253857758,2.589936378876469,,10.521834253857758
XGBoost_grid_1_AutoML_1_20260320_101042_model_55,3.2489863575619062,10.555912351623384,2.598705280146492,,10.555912351623384
XRT_1_AutoML_1_20260320_101042,3.2609711373116146,10.633932758379403,2.607774217921826,,10.633932758379403
GBM_grid_1_AutoML_1_20260320_101042_model_21,3.2617682535604904,10.63913213993505,2.604546697846844,,10.63913213993505
XGBoost_grid_1_AutoML_1_20260320_101042_model_34,3.277973162933029,10.745108056909164,2.619921487415606,,10.745108056909164
XGBoost_grid_1_AutoML_1_20260320_101042_model_43,3.288491287099349,10.814174945328336,2.6329348787059543,,10.814174945328336
GBM_grid_1_AutoML_1_20260320_101042_model_19,3.2899724447749703,10.823918687378594,2.627221277545903,,10.823918687378594
XGBoost_grid_1_AutoML_1_20260320_101042_model_4,3.2926162797432603,10.841321965630348,2.629543490063073,,10.841321965630348
XGBoost_grid_1_AutoML_1_20260320_101042_model_12,3.293090061330577,10.844442152034224,2.63061722793933,,10.844442152034224
XGBoost_grid_1_AutoML_1_20260320_101042_model_33,3.2981749547252086,10.87795803197663,2.6304466843398986,,10.87795803197663
GLM_1_AutoML_1_20260320_101042,3.3009675994556185,10.89638709265579,2.620510470837295,,10.89638709265579
GBM_grid_1_AutoML_1_20260320_101042_model_24,3.301389103998979,10.89917001600318,2.6435963448648274,,10.89917001600318
XGBoost_grid_1_AutoML_1_20260320_101042_model_3,3.306847575581477,10.935240888129096,2.643412689485296,,10.935240888129096
XGBoost_grid_1_AutoML_1_20260320_101042_model_9,3.318380734877452,11.011650701605816,2.6453103769647424,,11.011650701605816
XGBoost_grid_1_AutoML_1_20260320_101042_model_7,3.3216391124811184,11.033286393564351,2.655588959336584,,11.033286393564351
XGBoost_grid_1_AutoML_1_20260320_101042_model_2,3.3439309491914013,11.181874192960104,2.6692577074302126,,11.181874192960104
XGBoost_grid_1_AutoML_1_20260320_101042_model_15,3.3527325229490925,11.240815370440586,2.683255430973903,,11.240815370440586
GBM_grid_1_AutoML_1_20260320_101042_model_25,3.378842686860877,11.41657790255323,2.6996905031468645,,11.41657790255323
XGBoost_2_AutoML_1_20260320_101042,3.3918508158692715,11.504651957113042,2.705626994822384,,11.504651957113042
XGBoost_grid_1_AutoML_1_20260320_101042_model_10,3.4174625061464874,11.67904998091703,2.7213407511445,,11.67904998091703
XGBoost_grid_1_AutoML_1_20260320_101042_model_47,3.427005234826316,11.744364879526971,2.741339203259186,,11.744364879526971
XGBoost_1_AutoML_1_20260320_101042,3.4494455434776228,11.898674557417634,2.7545127768789186,,11.898674557417634
XGBoost_grid_1_AutoML_1_20260320_101042_model_28,3.46127664397765,11.980436006145183,2.77015768032868,,11.980436006145183
XGBoost_grid_1_AutoML_1_20260320_101042_model_27,3.474287964077325,12.070676857332568,2.776345430917782,,12.070676857332568
XGBoost_grid_1_AutoML_1_20260320_101042_model_6,3.474854560030173,12.074614213362487,2.767714325911575,,12.074614213362487
XGBoost_grid_1_AutoML_1_20260320_101042_model_41,3.4788056730014736,12.102088910507236,2.775102107296767,,12.102088910507236
XGBoost_grid_1_AutoML_1_20260320_101042_model_20,3.519230465066125,12.384983066249534,2.808568722308544,,12.384983066249534
XGBoost_grid_1_AutoML_1_20260320_101042_model_17,3.527989831285244,12.44671224965208,2.806867266341136,,12.44671224965208
XGBoost_grid_1_AutoML_1_20260320_101042_model_54,3.577449674710667,12.798146175087458,2.850344047980965,,12.798146175087458
XGBoost_grid_1_AutoML_1_20260320_101042_model_53,3.7434302353381113,14.013269926843549,2.9885864566487026,,14.013269926843549
GBM_grid_1_AutoML_1_20260320_101042_model_6,4.101104558466792,16.819058599477106,3.266146903475762,,16.819058599477106
