model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_1_AutoML_1_20260315_83559,3.0321597622337384,9.193992823709362,2.4250980429421776,,9.193992823709362
StackedEnsemble_BestOfFamily_1_AutoML_1_20260315_83559,3.033711415617446,9.203404953247608,2.4255119450763805,,9.203404953247608
DeepLearning_grid_1_AutoML_1_20260315_83559_model_1,3.0529304702899385,9.320384456424744,2.441122454020345,,9.320384456424744
XGBoost_grid_1_AutoML_1_20260315_83559_model_1,3.0731299035466275,9.444127404072503,2.457345495670592,,9.444127404072503
GBM_1_AutoML_1_20260315_83559,3.077245240305992,9.469438268985884,2.4600998289359297,,9.469438268985884
DeepLearning_1_AutoML_1_20260315_83559,3.081750347662332,9.497185205316905,2.466845108848183,,9.497185205316905
GBM_grid_1_AutoML_1_20260315_83559_model_2,3.0820134734313376,9.4988070504123,2.463769119462773,,9.4988070504123
GBM_5_AutoML_1_20260315_83559,3.083723511114844,9.50935069300246,2.466240840926639,,9.50935069300246
GBM_grid_1_AutoML_1_20260315_83559_model_1,3.085142853346249,9.518106425553436,2.467703796298465,,9.518106425553436
GBM_2_AutoML_1_20260315_83559,3.0981666586867087,9.598636644997963,2.477849974795176,,9.598636644997963
XGBoost_3_AutoML_1_20260315_83559,3.116505556511328,9.712606883765984,2.4960855401881736,,9.712606883765984
GBM_3_AutoML_1_20260315_83559,3.1174056584062666,9.718218039063409,2.4923393353790244,,9.718218039063409
DeepLearning_grid_2_AutoML_1_20260315_83559_model_1,3.1234089697161997,9.755683592103608,2.498864041214267,,9.755683592103608
GBM_4_AutoML_1_20260315_83559,3.165996156932384,10.023531665710626,2.5299116231962486,,10.023531665710626
DRF_1_AutoML_1_20260315_83559,3.16815250396785,10.037190288397758,2.5262273495273466,,10.037190288397758
XRT_1_AutoML_1_20260315_83559,3.2609711373116146,10.633932758379403,2.607774217921826,,10.633932758379403
DeepLearning_grid_3_AutoML_1_20260315_83559_model_1,3.2717653835804867,10.704448725195569,2.6123066818765484,,10.704448725195569
GLM_1_AutoML_1_20260315_83559,3.3009675994556185,10.89638709265579,2.620510470837295,,10.89638709265579
XGBoost_grid_1_AutoML_1_20260315_83559_model_3,3.306847575581477,10.935240888129096,2.643412689485296,,10.935240888129096
XGBoost_grid_1_AutoML_1_20260315_83559_model_2,3.3439309491914013,11.181874192960104,2.6692577074302126,,11.181874192960104
XGBoost_2_AutoML_1_20260315_83559,3.3918508158692715,11.504651957113042,2.705626994822384,,11.504651957113042
XGBoost_1_AutoML_1_20260315_83559,3.4494455434776228,11.898674557417634,2.7545127768789186,,11.898674557417634
