model_id,rmse,mse,mae,rmsle,mean_residual_deviance
DeepLearning_grid_1_AutoML_1_20260314_223010_model_1,3.0520933818154625,9.315274011321748,2.44068150528018,,9.315274011321748
DeepLearning_1_AutoML_1_20260314_223010,3.0681632124820077,9.41362549842791,2.456970012899109,,9.41362549842791
XGBoost_grid_1_AutoML_1_20260314_223010_model_1,3.0731299035466275,9.444127404072503,2.457345495670592,,9.444127404072503
GBM_1_AutoML_1_20260314_223010,3.077245240305992,9.469438268985884,2.4600998289359297,,9.469438268985884
GBM_grid_1_AutoML_1_20260314_223010_model_2,3.0820134734313376,9.4988070504123,2.463769119462773,,9.4988070504123
GBM_5_AutoML_1_20260314_223010,3.083723511114844,9.50935069300246,2.466240840926639,,9.50935069300246
GBM_grid_1_AutoML_1_20260314_223010_model_1,3.085142853346249,9.518106425553436,2.467703796298465,,9.518106425553436
GBM_2_AutoML_1_20260314_223010,3.0981666586867087,9.598636644997963,2.477849974795176,,9.598636644997963
XGBoost_3_AutoML_1_20260314_223010,3.116505556511328,9.712606883765984,2.4960855401881736,,9.712606883765984
GBM_3_AutoML_1_20260314_223010,3.1174056584062666,9.718218039063409,2.4923393353790244,,9.718218039063409
GBM_4_AutoML_1_20260314_223010,3.165996156932384,10.023531665710626,2.5299116231962486,,10.023531665710626
DRF_1_AutoML_1_20260314_223010,3.16815250396785,10.037190288397758,2.5262273495273466,,10.037190288397758
XRT_1_AutoML_1_20260314_223010,3.2609711373116146,10.633932758379403,2.607774217921826,,10.633932758379403
GLM_1_AutoML_1_20260314_223010,3.3009675994556185,10.89638709265579,2.620510470837295,,10.89638709265579
XGBoost_grid_1_AutoML_1_20260314_223010_model_3,3.306847575581477,10.935240888129096,2.643412689485296,,10.935240888129096
XGBoost_grid_1_AutoML_1_20260314_223010_model_2,3.3439309491914013,11.181874192960104,2.6692577074302126,,11.181874192960104
XGBoost_2_AutoML_1_20260314_223010,3.3918508158692715,11.504651957113042,2.705626994822384,,11.504651957113042
XGBoost_1_AutoML_1_20260314_223010,3.4494455434776228,11.898674557417634,2.7545127768789186,,11.898674557417634
