model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_1_AutoML_1_20260315_163221,2.0456500994201665,4.184684329257737,1.624460490590744,,4.184684329257737
StackedEnsemble_BestOfFamily_1_AutoML_1_20260315_163221,2.050359265837394,4.2039731190052585,1.628292384624372,,4.2039731190052585
XGBoost_grid_1_AutoML_1_20260315_163221_model_1,2.099009234581501,4.4058397668584215,1.666080444457027,,4.4058397668584215
GBM_2_AutoML_1_20260315_163221,2.1030776789142167,4.4229357235472095,1.6676126513581715,,4.4229357235472095
GBM_5_AutoML_1_20260315_163221,2.1050314824606517,4.431157542150487,1.6638883585771858,,4.431157542150487
DeepLearning_grid_1_AutoML_1_20260315_163221_model_1,2.1142464478683576,4.470038042323968,1.681644103380062,,4.470038042323968
GBM_grid_1_AutoML_1_20260315_163221_model_2,2.115555200742369,4.475573807388087,1.6725986465609064,,4.475573807388087
GBM_1_AutoML_1_20260315_163221,2.1248641804400448,4.515047785317144,1.6805585092309527,,4.515047785317144
GBM_3_AutoML_1_20260315_163221,2.1270934109990973,4.524526379115774,1.6845801757688197,,4.524526379115774
GBM_4_AutoML_1_20260315_163221,2.140962338821321,4.583719736251259,1.6949110756991512,,4.583719736251259
DeepLearning_1_AutoML_1_20260315_163221,2.1447795618209247,4.600079368804758,1.707928377916434,,4.600079368804758
XGBoost_3_AutoML_1_20260315_163221,2.15817149074598,4.657704183468726,1.710315055399231,,4.657704183468726
DeepLearning_grid_2_AutoML_1_20260315_163221_model_1,2.181453316603359,4.758738572519795,1.7300926407647217,,4.758738572519795
XRT_1_AutoML_1_20260315_163221,2.267210320221848,5.140242636120454,1.7893956986987498,,5.140242636120454
DRF_1_AutoML_1_20260315_163221,2.279409269543746,5.195706618081952,1.7947767010074915,,5.195706618081952
XGBoost_grid_1_AutoML_1_20260315_163221_model_3,2.291656695828271,5.2516904115345495,1.8060506738980475,,5.2516904115345495
XGBoost_grid_1_AutoML_1_20260315_163221_model_2,2.297290094932732,5.277541780276041,1.8216749140527857,,5.277541780276041
GBM_grid_1_AutoML_1_20260315_163221_model_1,2.31431317031028,5.356045450271619,1.823974296219051,,5.356045450271619
XGBoost_2_AutoML_1_20260315_163221,2.3523299195488026,5.533456050404475,1.8654728041201072,,5.533456050404475
XGBoost_1_AutoML_1_20260315_163221,2.359931670122275,5.569277487646112,1.8728567691439588,,5.569277487646112
DeepLearning_grid_3_AutoML_1_20260315_163221_model_1,2.3995538939970285,5.757858890196303,1.893692054769584,,5.757858890196303
GLM_1_AutoML_1_20260315_163221,2.6050465386023327,6.786267468283995,2.049334712143371,,6.786267468283995
