model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_1_AutoML_1_20260317_11250,2.0191011949088304,4.076769635282267,1.6055307268861287,,4.076769635282267
StackedEnsemble_BestOfFamily_1_AutoML_1_20260317_11250,2.020561836871156,4.08267013662014,1.6066991445025955,,4.08267013662014
GBM_grid_1_AutoML_1_20260317_11250_model_1,2.0254716660915038,4.10253547013949,1.6105721387215206,,4.10253547013949
GBM_grid_1_AutoML_1_20260317_11250_model_4,2.030225558289128,4.121815817530401,1.6154269332313205,,4.121815817530401
GBM_grid_1_AutoML_1_20260317_11250_model_2,2.040973563970436,4.165573088826183,1.6245994442777747,,4.165573088826183
GBM_1_AutoML_1_20260317_11250,2.0412089473100647,4.166533966578663,1.6225003666806923,,4.166533966578663
XGBoost_grid_1_AutoML_1_20260317_11250_model_1,2.0487637344036878,4.197432839407743,1.625620232412318,,4.197432839407743
GBM_5_AutoML_1_20260317_11250,2.049851735191356,4.201892136267014,1.6294941134154657,,4.201892136267014
GBM_grid_1_AutoML_1_20260317_11250_model_7,2.052710895118398,4.213622018937775,1.6358122002644415,,4.213622018937775
GBM_2_AutoML_1_20260317_11250,2.056265775675956,4.22822894021624,1.636345131013406,,4.22822894021624
GBM_grid_1_AutoML_1_20260317_11250_model_5,2.0646895314053237,4.262942861094733,1.641042740216584,,4.262942861094733
XGBoost_grid_1_AutoML_1_20260317_11250_model_8,2.065397075248996,4.265865078447106,1.640386453231954,,4.265865078447106
GBM_grid_1_AutoML_1_20260317_11250_model_3,2.067064512417779,4.272755698496951,1.6430203487308457,,4.272755698496951
DeepLearning_grid_1_AutoML_1_20260317_11250_model_1,2.0675586546861693,4.274798790567683,1.649209987120756,,4.274798790567683
GLM_1_AutoML_1_20260317_11250,2.069585540547489,4.28318430964324,1.6501577370191425,,4.28318430964324
DeepLearning_grid_1_AutoML_1_20260317_11250_model_4,2.072541554508014,4.295428495162494,1.654337168010535,,4.295428495162494
GBM_3_AutoML_1_20260317_11250,2.072967087373468,4.29719254533364,1.6499350562951065,,4.29719254533364
DeepLearning_grid_1_AutoML_1_20260317_11250_model_2,2.0734036600756647,4.299002737615162,1.6535227490551034,,4.299002737615162
XGBoost_3_AutoML_1_20260317_11250,2.080186946591524,4.327177732769767,1.6501820933331677,,4.327177732769767
DeepLearning_grid_1_AutoML_1_20260317_11250_model_3,2.0859377013861398,4.351136094064091,1.664400760895633,,4.351136094064091
DeepLearning_1_AutoML_1_20260317_11250,2.08789671811727,4.359312705524865,1.662356422145044,,4.359312705524865
GBM_4_AutoML_1_20260317_11250,2.093937049311011,4.384572366477305,1.6671317005188209,,4.384572366477305
DeepLearning_grid_2_AutoML_1_20260317_11250_model_1,2.096020860920365,4.393303449413349,1.6711063002013855,,4.393303449413349
XGBoost_grid_1_AutoML_1_20260317_11250_model_11,2.099881773709969,4.409503463559325,1.666798003807949,,4.409503463559325
DeepLearning_grid_2_AutoML_1_20260317_11250_model_2,2.112315717009558,4.461877688325604,1.6842189662163407,,4.461877688325604
DRF_1_AutoML_1_20260317_11250,2.120130877513843,4.494954937787618,1.687486027443119,,4.494954937787618
DeepLearning_grid_3_AutoML_1_20260317_11250_model_1,2.12684546650871,4.523471638408656,1.6953158842271878,,4.523471638408656
XRT_1_AutoML_1_20260317_11250,2.1491890540110967,4.6190135898811135,1.7146533447720878,,4.6190135898811135
XGBoost_grid_1_AutoML_1_20260317_11250_model_5,2.1596179959604034,4.663949888476028,1.7166910200218612,,4.663949888476028
DeepLearning_grid_3_AutoML_1_20260317_11250_model_2,2.16770126702314,4.698928783053725,1.7302559060213876,,4.698928783053725
XGBoost_grid_1_AutoML_1_20260317_11250_model_3,2.188600055566463,4.789970203225526,1.7372093347685238,,4.789970203225526
XGBoost_grid_1_AutoML_1_20260317_11250_model_4,2.1931557896015867,4.809932317462959,1.7438541716023117,,4.809932317462959
XGBoost_grid_1_AutoML_1_20260317_11250_model_9,2.202858498761192,4.852585565564412,1.7511748005940522,,4.852585565564412
XGBoost_grid_1_AutoML_1_20260317_11250_model_7,2.2075274711580355,4.873177535917391,1.7580368695969637,,4.873177535917391
XGBoost_grid_1_AutoML_1_20260317_11250_model_2,2.2160230045442506,4.910757956669328,1.7604720601783426,,4.910757956669328
XGBoost_grid_1_AutoML_1_20260317_11250_model_10,2.251557691988094,5.069512040350752,1.7921348008975797,,5.069512040350752
XGBoost_1_AutoML_1_20260317_11250,2.27307630532706,5.166875889839319,1.8145239788180043,,5.166875889839319
XGBoost_2_AutoML_1_20260317_11250,2.277746353531615,5.18812845102657,1.8110389054303235,,5.18812845102657
XGBoost_grid_1_AutoML_1_20260317_11250_model_6,2.299404167560536,5.287259525794759,1.8299127425841928,,5.287259525794759
DeepLearning_grid_2_AutoML_1_20260317_11250_model_3,2.49809220360599,6.240464657717032,1.9838289102354063,,6.240464657717032
GBM_grid_1_AutoML_1_20260317_11250_model_6,2.55212888682892,6.513361854986621,2.0431675580380437,,6.513361854986621
DeepLearning_grid_3_AutoML_1_20260317_11250_model_3,2.556086760055479,6.533579524930916,2.036646181199373,,6.533579524930916
